iter	RMSE
0	42.94463696
1	41.88332264
2	40.7520375
3	39.72199321
4	38.701809
5	37.77437399
6	36.86068443
7	36.02622689
8	35.20766752
9	34.32566419
10	33.56184305
11	32.81152423
12	32.07806325
13	31.37545018
14	30.6736837
15	30.01693217
16	29.37252845
17	28.75672709
18	28.21077414
19	27.63644372
20	27.10160754
21	26.56526975
22	26.02672139
23	25.53500087
24	25.03429413
25	24.62325715
26	24.18493554
27	23.76608445
28	23.34558263
29	23.00334275
30	22.64764226
31	22.29591674
32	21.96051099
33	21.64835999
34	21.32510226
35	21.00772677
36	20.68651687
37	20.41078794
38	20.17047882
39	19.87178324
40	19.59500326
41	19.3534959
42	19.09160393
43	18.85376902
44	18.64169047
45	18.42559451
46	18.22645453
47	18.06552027
48	17.88780688
49	17.69996643
50	17.53897644
51	17.36803343
52	17.19885922
53	17.02685528
54	16.86113379
55	16.72332425
56	16.5590136
57	16.41448742
58	16.30048789
59	16.15705478
60	16.03812928
61	15.90429883
62	15.78357275
63	15.65264987
64	15.53840269
65	15.41102899
66	15.3243948
67	15.21779552
68	15.10388116
69	14.99248492
70	14.89755461
71	14.7987615
72	14.71874887
73	14.64139355
74	14.56655296
75	14.471163
76	14.40279691
77	14.33019282
78	14.24249912
79	14.15758541
80	14.06792152
81	14.01027149
82	13.93663549
83	13.86965121
84	13.78743617
85	13.71128307
86	13.63976874
87	13.56582709
88	13.5040258
89	13.44296275
90	13.38576774
91	13.34055456
92	13.27888073
93	13.21875238
94	13.16435883
95	13.11155272
96	13.06644809
97	13.02621642
98	12.98398257
99	12.9409213
100	12.89720964
101	12.83542718
102	12.77071019
103	12.7321594
104	12.67524767
105	12.61487458
106	12.56192288
107	12.5150646
108	12.47547883
109	12.42890848
110	12.38714287
111	12.34075257
112	12.30027402
113	12.27367889
114	12.24007829
115	12.20341765
116	12.15080157
117	12.12410411
118	12.07892468
119	12.04634373
120	12.00594333
121	11.97729905
122	11.94605025
123	11.91633915
124	11.89098111
125	11.85819368
126	11.81788784
127	11.78067598
128	11.7606114
129	11.73153597
130	11.6806581
131	11.63907104
132	11.59381112
133	11.56626099
134	11.54176478
135	11.50559746
136	11.48768648
137	11.45392033
138	11.42413889
139	11.39310791
140	11.35544183
141	11.31958126
142	11.29037495
143	11.26161115
144	11.23020006
145	11.2004835
146	11.16304489
147	11.12478865
148	11.08887966
149	11.0603295
150	11.03362801
151	11.00246779
152	10.97750421
153	10.924353
154	10.89017599
155	10.84191457
156	10.81471662
157	10.79197299
158	10.75503727
159	10.7336092
160	10.70470568
161	10.66966359
162	10.63657701
163	10.61468858
164	10.58011926
165	10.55055007
166	10.52127579
167	10.49241515
168	10.45221749
169	10.42497809
170	10.40969079
171	10.3832776
172	10.35514831
173	10.33853693
174	10.30863235
175	10.2832601
176	10.26998582
177	10.2443821
178	10.22603886
179	10.21416113
180	10.17860121
181	10.16218444
182	10.13409736
183	10.11384068
184	10.08988351
185	10.08041969
186	10.06306902
187	10.04378409
188	10.03868594
189	10.03511102
190	10.0132048
191	9.970305323
192	9.943093982
193	9.928482945
194	9.8851133
195	9.855381873
196	9.832936227
197	9.819224249
198	9.781387076
199	9.767012697
200	9.742822639
201	9.714165402
202	9.680740043
203	9.665241965
204	9.650830458
205	9.617439507
206	9.607190773
207	9.591566632
208	9.564515345
209	9.544958461
210	9.53409334
211	9.509238014
212	9.48546651
213	9.469155241
214	9.452562245
215	9.423645812
216	9.397172042
217	9.360308584
218	9.336272776
219	9.306016761
220	9.271244977
221	9.240309432
222	9.223317428
223	9.191168412
224	9.178773275
225	9.149099801
226	9.128759927
227	9.117191938
228	9.100883541
229	9.084639982
230	9.055447993
231	9.026339928
232	9.01620949
233	9.003882183
234	8.98344838
235	8.94114903
236	8.931380495
237	8.921603051
238	8.904642413
239	8.892002341
240	8.86915773
241	8.864051155
242	8.857297387
243	8.831758605
244	8.813799272
245	8.799964613
246	8.776924958
247	8.755340825
248	8.750076941
249	8.727522965
250	8.70816941
251	8.682065056
252	8.672459721
253	8.667518823
254	8.624641479
255	8.596307524
256	8.582028376
257	8.565272062
258	8.530241507
259	8.514871531
260	8.512067592
261	8.486570701
262	8.446965202
263	8.42124574
264	8.40249774
265	8.378125658
266	8.32633697
267	8.307950527
268	8.276869513
269	8.234982657
270	8.188414701
271	8.1794835
272	8.15382924
273	8.119660923
274	8.087231002
275	8.083714178
276	8.061388146
277	8.048407234
278	8.045105925
279	8.016014364
280	8.000430659
281	7.970354274
282	7.950431998
283	7.922128049
284	7.881524382
285	7.878070287
286	7.875501892
287	7.856284808
288	7.831454672
289	7.796574597
290	7.780815509
291	7.77714605
292	7.743735928
293	7.739058121
294	7.721787264
295	7.719270043
296	7.715623272
297	7.696482156
298	7.679192459
299	7.657907183
300	7.640956814
301	7.602079148
302	7.578658014
303	7.551145275
304	7.532507964
305	7.524655532
306	7.515446562
307	7.504412586
308	7.501190619
309	7.498327559
310	7.491293642
311	7.489134234
312	7.486875019
313	7.465773068
314	7.463481517
315	7.461042919
316	7.430911225
317	7.417482533
318	7.392279718
319	7.364791096
320	7.362422108
321	7.343852618
322	7.316525062
323	7.304673343
324	7.294324134
325	7.271908328
326	7.251280329
327	7.244396865
328	7.219729115
329	7.213360634
330	7.210300809
331	7.189892615
332	7.165466085
333	7.145248814
334	7.122028994
335	7.119773322
336	7.116656976
337	7.097040175
338	7.094843149
339	7.074328802
340	7.049419418
341	7.039098104
342	7.013654725
343	6.989391068
344	6.968349453
345	6.966619316
346	6.952110022
347	6.941896834
348	6.935818705
349	6.921547572
350	6.900925379
351	6.876212959
352	6.860237754
353	6.840579833
354	6.815946824
355	6.79674365
356	6.78519482
357	6.780241572
358	6.765968388
359	6.760467718
360	6.735629293
361	6.716795709
362	6.714760358
363	6.711428887
364	6.709729685
365	6.688384669
366	6.669503346
367	6.64823577
368	6.640705166
369	6.613792417
370	6.611968819
371	6.592316085
372	6.586762684
373	6.562591324
374	6.544059777
375	6.535669962
376	6.510418885
377	6.494108626
378	6.474830886
379	6.451387284
380	6.442295692
381	6.429923761
382	6.418439521
383	6.4013209
384	6.381672745
385	6.358084409
386	6.356238383
387	6.346113492
388	6.330784529
389	6.325534937
390	6.304065675
391	6.286497004
392	6.268325772
393	6.250619508
394	6.233504735
395	6.213864135
396	6.194126129
397	6.188405893
398	6.1819425
399	6.16470277
400	6.141499973
401	6.12755636
402	6.108745763
403	6.106545479
404	6.088197966
405	6.062593698
406	6.04338638
407	6.02973292
408	6.014916643
409	5.993401911
410	5.976980485
411	5.956031831
412	5.942116795
413	5.93901437
414	5.935921484
415	5.911640516
416	5.903593178
417	5.890324106
418	5.884562149
419	5.877960166
420	5.867952113
421	5.85227882
422	5.834779063
423	5.825972794
424	5.808878453
425	5.800524372
426	5.798729567
427	5.783903231
428	5.766385188
429	5.762233714
430	5.754245445
431	5.738585505
432	5.726577968
433	5.72465274
434	5.70600265
435	5.698350249
436	5.686688427
437	5.684580972
438	5.675425353
439	5.661841529
440	5.645935989
441	5.638145473
442	5.62822993
443	5.614138126
444	5.599989518
445	5.597735532
446	5.585486654
447	5.576601942
448	5.574184707
449	5.571210552
450	5.553789577
451	5.548323632
452	5.545218282
453	5.536239662
454	5.528334386
455	5.522021624
456	5.505863654
457	5.489497131
458	5.47741616
459	5.468074073
460	5.464429545
461	5.449315312
462	5.42906693
463	5.415463805
464	5.397719544
465	5.385997995
466	5.372271738
467	5.36858178
468	5.350643076
469	5.338474842
470	5.323123112
471	5.306558673
472	5.30436435
473	5.297717915
474	5.284219575
475	5.281697774
476	5.278166199
477	5.269598388
478	5.257959045
479	5.255138557
480	5.24021178
481	5.223674735
482	5.205203961
483	5.194002273
484	5.191971653
485	5.1824012
486	5.1785008
487	5.171443281
488	5.158800407
489	5.147692637
490	5.136212587
491	5.12154625
492	5.10804889
493	5.087454906
494	5.073956995
495	5.063576031
496	5.051712814
497	5.040598262
498	5.035853358
499	5.029574028
500	5.014609907
501	5.012568168
502	5.003490846
503	4.994091759
504	4.992105921
505	4.981433037
506	4.97268254
507	4.958969915
508	4.951759742
509	4.93991625
510	4.935876281
511	4.918749368
512	4.916328393
513	4.912418351
514	4.908784108
515	4.906629967
516	4.896290263
517	4.892628656
518	4.885117305
519	4.88000455
520	4.868186802
521	4.866215053
522	4.849699926
523	4.835810902
524	4.82563611
525	4.816165464
526	4.807491284
527	4.803668959
528	4.787574089
529	4.78100236
530	4.773523522
531	4.760169304
532	4.756297126
533	4.755078334
534	4.751045162
535	4.746954018
536	4.738114574
537	4.724510964
538	4.721403172
539	4.719486591
540	4.71149308
541	4.704117342
542	4.700556712
543	4.687142825
544	4.677681842
545	4.665979784
546	4.65373516
547	4.643916336
548	4.641941479
549	4.638473588
550	4.626944434
551	4.625303779
552	4.617424111
553	4.612206165
554	4.609092707
555	4.607086116
556	4.604916824
557	4.596054792
558	4.594393537
559	4.590392735
560	4.589019188
561	4.58718241
562	4.583206247
563	4.573871189
564	4.563474531
565	4.556400206
566	4.553271
567	4.546943921
568	4.543101071
569	4.530277881
570	4.521558565
571	4.511357811
572	4.500483948
573	4.492258848
574	4.48905327
575	4.487187232
576	4.480803981
577	4.477538145
578	4.469629801
579	4.467673076
580	4.463858584
581	4.456215704
582	4.447782249
583	4.440743479
584	4.438833643
585	4.437793887
586	4.429862462
587	4.420626227
588	4.418367195
589	4.409540855
590	4.401322341
591	4.398606797
592	4.396212944
593	4.388223922
594	4.373932172
595	4.368134826
596	4.360773917
597	4.358931611
598	4.354575703
599	4.339278302
600	4.326844684
601	4.325125778
602	4.323349286
603	4.321461914
604	4.3157479
605	4.311436834
606	4.301603273
607	4.298873458
608	4.286954168
609	4.272609418
610	4.270747998
611	4.269073791
612	4.257656839
613	4.254738531
614	4.24203445
615	4.230236523
616	4.228442246
617	4.226422233
618	4.213605965
619	4.201434238
620	4.194140994
621	4.186547872
622	4.175865309
623	4.175284313
624	4.170928494
625	4.169864319
626	4.168854168
627	4.158437944
628	4.151887488
629	4.151017986
630	4.148355389
631	4.146713529
632	4.136685005
633	4.130565999
634	4.129624108
635	4.12842621
636	4.126813045
637	4.119015717
638	4.109877578
639	4.108429835
640	4.105772877
641	4.100377877
642	4.098848687
643	4.097016674
644	4.092920257
645	4.083913297
646	4.082766629
647	4.079601205
648	4.076476176
649	4.066421453
650	4.064960053
651	4.062939644
652	4.053387689
653	4.045487915
654	4.044116194
655	4.038066816
656	4.035563795
657	4.023785444
658	4.016301283
659	4.006881242
660	4.001152949
661	3.998761029
662	3.992246612
663	3.989665611
664	3.980636025
665	3.972620393
666	3.964888389
667	3.962281623
668	3.960514243
669	3.959698568
670	3.953025295
671	3.950033532
672	3.947905213
673	3.943572224
674	3.93883138
675	3.929027221
676	3.928607614
677	3.927162532
