iter	Passed	Remaining
0	2	2422
1	4	2082
2	7	2326
3	9	2280
4	10	2185
5	12	2060
6	13	1946
7	15	1905
8	16	1811
9	17	1756
10	20	1849
11	23	1907
12	24	1856
13	26	1850
14	27	1823
15	29	1798
16	30	1766
17	32	1751
18	34	1759
19	35	1739
20	36	1706
21	38	1702
22	40	1714
23	41	1694
24	43	1688
25	44	1670
26	46	1670
27	47	1654
28	49	1648
29	50	1646
30	51	1624
31	53	1628
32	55	1616
33	56	1602
34	57	1593
35	58	1578
36	60	1564
37	61	1547
38	62	1534
39	63	1532
40	65	1521
41	66	1518
42	68	1514
43	69	1509
44	70	1499
45	71	1487
46	73	1489
47	75	1489
48	76	1482
49	77	1475
50	78	1467
51	80	1466
52	82	1474
53	84	1482
54	86	1484
55	88	1485
56	89	1483
57	91	1483
58	92	1481
59	94	1480
60	95	1475
61	100	1515
62	101	1515
63	102	1505
64	104	1505
65	106	1502
66	107	1501
67	109	1497
68	110	1496
69	112	1500
70	115	1514
71	117	1512
72	118	1504
73	120	1502
74	121	1503
75	123	1499
76	124	1494
77	126	1490
78	127	1482
79	128	1480
80	130	1479
81	131	1473
82	132	1465
83	133	1458
84	135	1453
85	136	1446
86	137	1437
87	138	1433
88	139	1428
89	140	1424
90	142	1422
91	143	1418
92	144	1413
93	146	1410
94	147	1407
95	149	1403
96	150	1398
97	152	1399
98	153	1398
99	155	1397
100	157	1399
101	158	1396
102	160	1394
103	161	1392
104	162	1388
105	163	1382
106	165	1381
107	167	1380
108	168	1374
109	169	1369
110	170	1366
111	171	1363
112	173	1359
113	174	1355
114	175	1351
115	176	1348
116	178	1343
117	179	1342
118	181	1343
119	182	1340
120	184	1341
121	186	1341
122	187	1340
123	189	1339
124	190	1336
125	192	1333
126	193	1333
127	195	1328
128	196	1326
129	198	1325
130	199	1321
131	200	1320
132	202	1317
133	203	1316
134	205	1316
135	207	1317
136	208	1315
137	210	1313
138	211	1312
139	213	1308
140	214	1305
141	215	1302
142	216	1299
143	218	1300
144	220	1301
145	222	1303
146	224	1303
147	226	1303
148	228	1304
149	230	1304
150	232	1304
151	233	1301
152	235	1301
153	236	1299
154	237	1296
155	239	1293
156	240	1289
157	241	1285
158	242	1281
159	243	1277
160	244	1274
161	245	1272
162	247	1268
163	248	1267
164	249	1263
165	250	1260
166	252	1258
167	253	1256
168	254	1253
169	256	1250
170	257	1247
171	258	1245
172	259	1242
173	261	1239
174	262	1237
175	263	1235
176	265	1232
177	266	1229
178	267	1226
179	268	1223
180	269	1221
181	271	1219
